18if,"Kaminaga, Akito"
Mobile Suit Gundam SEED C.E.73: Stargazer,"Couza, Shams"
Mokei Senshi Gunpla Builders Beginning G,"Matsumoto, Kouji"
Monochrome Factor,"Asamura, Kengo"
Monogatari Series: Second Season,"Araragi, Koyomi"
Mugen Senki Portriss,Dual Carrie
Muhyo to Rouji no Mahouritsu Soudan Jimusho,"Madoka, Soratsugu"
Nanatsu no Taizai,Helbram
Nanatsu no Taizai: Eiyuu-tachi wa Hashagu,Helbram
Nanatsu no Taizai: Imashime no Fukkatsu,Helbram
Nanatsu no Taizai: Kamigami no Gekirin,Helbram
Natsume Yuujinchou,"Natsume, Takashi"
Natsume Yuujinchou Go,"Natsume, Takashi"
Natsume Yuujinchou Go Specials,"Natsume, Takashi"
Natsume Yuujinchou Movie: Utsusemi ni Musubu,"Natsume, Takashi"
Natsume Yuujinchou Roku,"Natsume, Takashi"
Natsume Yuujinchou San,"Natsume, Takashi"
Natsume Yuujinchou Shi,"Natsume, Takashi"
Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Natsume, Takashi"
Natsume Yuujinchou: Nyanko-sensei to Hajimete no Otsukai,"Natsume, Takashi"
Nekomonogatari: Kuro,"Araragi, Koyomi"
Nisemonogatari,"Araragi, Koyomi"
Nodame Cantabile,"Kimura, Tomohito"
Nodame Cantabile OVA,"Kimura, Tomohito"
Nodame Cantabile: Finale - Mine to Kiyora no Saikai,"Kimura, Tomohito"
Noir,Dominiques
Noragami,Yato
Noragami Aragoto,Yato
Noragami Aragoto OVA,Yato
Noragami OVA,Yato
Nurarihyon no Mago,Senba
Offside (TV),"Ibino, Katsuhiko"
Ojiisan no Lamp,Minosuke
Okitegami Kyouko no Bibouroku x Monogatari,"Araragi, Koyomi"
One Piece,Mozambia
One Piece Movie 14: Stampede,"Trafalgar, Law"
One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,"Trafalgar, Law"
Osomatsu-san,"Matsuno, Choromatsu"
Osomatsu-san 2nd Season,"Matsuno, Choromatsu"
Osomatsu-san Movie,"Matsuno, Choromatsu"
Osomatsu-san Short Film Series,"Matsuno, Choromatsu"
Osomatsu-san Special,"Matsuno, Choromatsu"
Osomatsu-san: Ouma de Kobanashi,"Matsuno, Choromatsu"
Otona Joshi no Anime Time,"Kishida, Yuusaku"
Overlord III,Kyouhukou
Owarimonogatari,"Shishirui, Seishirou"
Owarimonogatari 2nd Season,"Araragi, Koyomi"
Paniponi Dash!,"Inugami, Tsurugi"
Phantasy Star Online 2 The Animation,Kasura
Phi Brain: Kami no Puzzle - Orpheus Order-hen,Freecell
Phi Brain: Kami no Puzzle - Shukuteki! Rätsel-hen,Freecell
Play Ball,Aiki
Pokemon Advanced Generation,Hiromi
Pokemon Black and White 2: Introduction Movie,N
Princess Princess,"Arisada, Shuuya"
Prison School,"Fujino, Kiyoshi"
Prison School: Mad Wax,"Fujino, Kiyoshi"
Psychic Academy,"Kyupura Pa Azaraku Vairu Rua Darugo, Zerodaimu"
Psycho-Pass Movie,"Wong, Nicholas"
Rakuen Tsuihou,Frontier Setter
Re:␣Hamatora,Art
Renketsu Houshiki,Keisuke
Ring ni Kakero 1,"Kawai, Takeshi"
Ring ni Kakero 1 Pilot,"Kawai, Takeshi"
Ring ni Kakero 1: Kage Dou-hen,"Kawai, Takeshi"
Ring ni Kakero 1: Nichibei Kessen-hen,"Kawai, Takeshi"
Road to You,Ryouta
Rockman.EXE Stream,"Narcy, Hide"
Saiki Kusuo no Ψ-nan,"Saiki, Kusuo"
Saiki Kusuo no Ψ-nan 2,"Saiki, Kusuo"
Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,"Saiki, Kusuo"
Saiki Kusuo no Ψ-nan: Kanketsu-hen,"Saiki, Kusuo"
Saint Seiya Omega,"Andromeda, Shun"
Saint Seiya: Meiou Hades Meikai-hen,"Lyra, Orphee"
Saint Seiya: The Lost Canvas - Meiou Shinwa,"Pisces, Albafica"
Sayonara Zetsubou Sensei,"Itoshiki, Mikoto"
Sayonara Zetsubou Sensei Jo: Zetsubou Shoujo Senshuu,"Itoshiki, Mikoto"
Sayonara Zetsubou Sensei Jo: Zoku Zetsubou Shoujo Senshuu,"Itoshiki, Nozomu"
SD Gundam Force,"Gundam, Captain"
Sekaiichi Hatsukoi,"Yanase, Yuu"
Sekaiichi Hatsukoi 2,"Yanase, Yuu"
Senyuu. Specials,"Diabolos, Teufel"
Servamp,"Kamiya, Tsurugi"
Shingeki no Kyojin,Levi
Shingeki no Kyojin Movie 1: Guren no Yumiya,Levi
Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa,Levi
Shingeki no Kyojin OVA,Levi
Shingeki no Kyojin Picture Drama,Levi
Shingeki no Kyojin Season 2,Levi
Shingeki no Kyojin Season 3,Levi
Shingeki no Kyojin Season 3 Part 2,Levi
Shingeki no Kyojin: Ano Hi Kara,Levi
Shingeki no Kyojin: Kuinaki Sentaku,Levi
Shingeki no Kyotou,Levi
Shingeki! Kyojin Chuugakkou,Levi
Shining Hearts: Shiawase no Pan,Alvin
Shining Hearts: Shiawase no Pan - Kokoro ga Todoita Picture Drama,"Elwood, Rick"
Shining Hearts: Shiawase no Pan Specials,"Elwood, Rick"
Shinkyoku Soukai Polyphonica,"Tatara, Phoron"
Shinkyoku Soukai Polyphonica Crimson S,"Tatara, Phoron"
Shinrabanshou: Tenchi Shinmei no Shou,Mobius
Shion no Ou,Kobayashi
Shiritsu Liyon Gakuen,"Shitennoji, Raito"
Shirokuma Cafe,Penguin
Skate-Leading☆Stars,"Shinozaki, Reo"
Sore ga Seiyuu!,"Kamiya, Hiroshi"
Space☆Dandy 2nd Season,Johnny
Starry☆Sky,"Miyaji, Ryuunosuke"
Suki ni Naru Sono Shunkan wo.: Kokuhaku Jikkou Iinkai,"Setoguchi, Yuu"
Sunabouzu,"Kawazu, Makoto"
Super GALS! Kotobuki Ran,"Otohata, Rei"
Sword Art Online II,"Shigemura, Tamotsu"
Tokyo Autumn Session,"Setoguchi, Yuu"
Towa no Quon 1: Utakata no Kaben,"Mitsuchi, Quon"
Towa no Quon 2: Konton no Ranbu,"Mitsuchi, Quon"
Towa no Quon 3: Mugen no Renza,"Mitsuchi, Quon"
Towa no Quon 4: Guren no Shoushin,"Mitsuchi, Quon"
Towa no Quon 5: Souzetsu no Raifuku,"Mitsuchi, Quon"
Towa no Quon 6: Towa no Quon,"Mitsuchi, Quon"
Trigun,"the Beast, Zazie"
Tsubasa Chronicle,Keefer
Tsubasa Chronicle 2nd Season,Keefer
Tsukimonogatari,"Araragi, Koyomi"
Tsukuyomi: Moon Phase,"Morioka, Kouhei"
Tytania,"Pages, Louis Edmond"
Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,"Keyman, Klaus"
Ueki no Housoku,Mario
Ultra Maniac,"Kaji, Tetsushi"
Ultra Maniac OVA,"Kaji, Tetsushi"
Uragiri wa Boku no Namae wo Shitteiru,"Hourai, Kuroto"
Uramichi Oniisan,"Omota, Uramichi"
Wagamama☆Fairy Mirumo de Pon!,"Kiryuu, Takumi"
Wooser no Sono Higurashi: Kakusei-hen,Darth Wooser
Wooser no Sono Higurashi: Mugen-hen,Darth Wooser
Working!!,"Souma, Hiroomi"
Working!!!,"Souma, Hiroomi"
Working!!!: Lord of the Takanashi,"Souma, Hiroomi"
Working'!!,"Souma, Hiroomi"
Xi Avant,"Takamura, Kaoru"
"Yondemasu yo, Azazel-san.",Beelzebub
"Yondemasu yo, Azazel-san. (TV)",Beelzebub
"Yondemasu yo, Azazel-san. Z",Beelzebub
Yoru wa Mijikashi Arukeyo Otome,Gakuensai Jimukyokuchou
Zan Sayonara Zetsubou Sensei,"Itoshiki, Mikoto"
Zan Sayonara Zetsubou Sensei Bangaichi,"Kumeta, Kouji"
Zegapain,"Toya, Hayase"
Zephyr,Kal
Zoku Natsume Yuujinchou,"Natsume, Takashi"
Zoku Owarimonogatari,"Araragi, Koyomi"
Zoku Sayonara Zetsubou Sensei,"Itoshiki, Mikoto"
Zutto Mae kara Suki deshita.: Kokuhaku Jikkou Iinkai,"Setoguchi, Yuu"
