Kami nomi zo Shiru Sekai,"Shiomiya, Shiori"
,
Kami nomi zo Shiru Sekai: Megami-hen,"Shiomiya, Shiori"
,
Kamisama Dolls,"Hyuuga, Mahiru"
,
Kamisama Dolls Specials,"Hyuuga, Mahiru"
,
Kanadian Families: Episode Zero,Kana-chan
,
Kannagi,Zange
,
Kannagi: Moshimo Kannagi ga Attara...,Zange
,
Kanojo ga Flag wo Oraretara,"Touzokuyama, Megumu"
,
Kanojo ga Flag wo Oraretara: Christmas? Sonna Mono ga Boku ni Tsuuyou Suru to Omou no ka?,"Touzokuyama, Megumu"
,
Kanojo to Kanojo no Neko: Everything Flows,Miyu
,
Kemeko Deluxe!,"Androids, Riko"
,
Kimetsu no Yaiba,"Kanroji, Mitsuri"
,
Kimi no Na wa.,"Yukino, Yukari"
,
Kingdom Hearts χ Back Cover,Invi
,
Kiseijuu: Sei no Kakuritsu,"Murano, Satomi"
,
Kobato.,"Hanato, Kobato"
,
Kobato.: Hajimete no Kobato.,"Hanato, Kobato"
,
KochinPa!,Hana
,
KochinPa! Dainiki,Hana
,
Koi to Uso,"Takasaki, Misaki"
,
Kotonoha no Niwa,"Yukino, Yukari"
,
Kotoura-san,"Mifune, Yuriko"
,
Kotoura-san: Haruka no Heya,"Mifune, Yuriko"
,
Koyomi History,"Sengoku, Nadeko"
,
Koyomimonogatari,"Sengoku, Nadeko"
,
Kuragehime,"Kurashita, Tsukimi"
,
Kuragehime: Soreike! Amars Tankentai,"Kurashita, Tsukimi"
,
Kuutei Dragons,Vanabelle
,
Kyoukai no Rinne (TV) 2nd Season,Chibi
,
Kyouran Kazoku Nikki,"Midarezaki, Yuuka"
,
Ladies versus Butlers!,"Khadim, Ayse"
,
Ladies versus Butlers! Specials,"Khadim, Ayse"
,
Lapis Re:LiGHTs,Eliza
,
Last Exile,"Mad-thane, Holly"
,
Last Exile: Ginyoku no Fam,"Hamilton, Alvis E."
,
Last Exile: Ginyoku no Fam - Adjournment,"Hamilton, Alvis E."
,
Layton Mystery Tanteisha: Katri no Nazotoki File,"Layton, Katrielle"
,
Listeners,Roz
,
Little Busters!,"Suginami, Mutsumi"
,
Little Busters!: Refrain,"Suginami, Mutsumi"
,
Machine-Doll wa Kizutsukanai,"Akabane, Nadeshiko"
,
Machine-Doll wa Kizutsukanai Specials,"Akabane, Nadeshiko"
,
Magi: The Kingdom of Magic,"Ren, Kougyoku"
,
Magi: The Labyrinth of Magic,"Ren, Kougyoku"
,
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden (TV),Kuroe
,
Mahou Sensei Negima! Movie: Anime Final,"Monroe, Beatrix"
,
Mahou Sensei Negima!: Mou Hitotsu no Sekai,"Monroe, Beatrix"
,
Mahou Sensei Negima!: Mou Hitotsu no Sekai Extra - Mahou Shoujo Yue♥,"Monroe, Beatrix"
,
Mahouka Koukou no Rettousei,"Saegusa, Mayumi"
,
Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,"Saegusa, Mayumi"
,
Mahouka Koukou no Rettousei: Raihousha-hen,"Saegusa, Mayumi"
,
Mahouka Koukou no Rettousei: Yoku Wakaru Mahouka!,"Saegusa, Mayumi"
,
Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,"Suzuki, Sora"
,
Majo no Tabitabi,Fran
,
Major 2nd (TV),"Sakura, Mutsuko"
,
Major 2nd (TV) 2nd Season,"Sakura, Mutsuko"
,
Mayo Chiki!,"Sakamachi, Kureha"
,
Mayo Elle Otoko no Ko,"Kanade, Itsuki"
,
Megane na Kanojo,"Kuramoto, Chiaki"
,
Mekakucity Actors,"Kozakura, Mari"
,
Mix,"Ooyama, Haruka"
,
Mobile Suit Gundam AGE,"Stone, Romary"
,
Mobile Suit Gundam AGE: Memory of Eden,"Stone, Romary"
,
Monogatari Series: Second Season,"Sengoku, Nadeko"
,
Monster Strike: Mermaid Rhapsody,"Kiskill, Lyra"
,
Morita-san wa Mukuchi,"Morita, Mayu"
,
Morita-san wa Mukuchi.,"Morita, Mayu"
,
Morita-san wa Mukuchi. 2,"Morita, Mayu"
,
Morita-san wa Mukuchi. Specials,"Morita, Mayu"
,
Moshidora,"Miyata, Yuuki"
,
Motto To LOVE-Ru,"Yuuki, Mikan"
,
Mouretsu Pirates,"Kurihara, Chiaki"
,
Mouretsu Pirates: Abyss of Hyperspace,"Kurihara, Chiaki"
,
Mushi-Uta,"Anmoto, Shiika"
,
Mushikago no Cagaster,Ilie
,
Nagareboshi Lens,"Hanakago, Risa"
,
Nagi no Asu kara,"Mukaido, Manaka"
,
Nerawareta Gakuen,"Harukawa, Kahori"
,
Nintama Rantarou no Uchuu Daibouken with Cosmic Front☆Next,"Galilei, Galileo"
,
Nisekoi,"Onodera, Kosaki"
,
Nisekoi OVA,"Onodera, Kosaki"
,
Nisekoi:,"Onodera, Kosaki"
,
Nisekoi: OVA,"Onodera, Kosaki"
,
Nisemonogatari,"Sengoku, Nadeko"
,
Nourin,"Nakazawa, Minori"
,
Ojisan to Marshmallow,Mio5
,
Oniku Daisuki! Zeushi-kun,Zeushi-kun
,
Oniku Daisuki! Zeushi-kun 2nd Season,Zeushi-kun
,
Oniku Daisuki! Zeushi-kun: Suteki na Hamburger,Zeushi-kun
,
Orange,"Takamiya, Naho"
,
Orange: Mirai,"Takamiya, Naho"
,
Ore no Imouto ga Konnani Kawaii Wake ga Nai,"Gokou, Hinata"
,
Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,"Gokou, Ruri"
,
Ore no Imouto ga Konnani Kawaii Wake ga Nai.,"Gokou, Hinata"
,
Ore no Imouto ga Konnani Kawaii Wake ga Nai. Specials,"Gokou, Hinata"
,
Ore no Imouto ga Konnani Kawaii Wake ga Nai: SD Chara ni Yoru Character Commentary,"Gokou, Ruri"
,
Otome Youkai Zakuro,Susukihotaru
,
Otome Youkai Zakuro Picture Drama,Susukihotaru
,
Owarimonogatari,"Sengoku, Nadeko"
,
Owarimonogatari 2nd Season,"Sengoku, Nadeko"
,
Pandora Hearts,"Rainsworth, Sharon"
,
Pandora Hearts Omake,"Rainsworth, Sharon"
,
Persona 4 the Golden Animation,Marie
,
Phantasy Star Online 2: Episode Oracle,Lisa
,
Phantom in the Twilight,"Ton, Baileu"
,
Phantom of the Kill: Zero kara no Hangyaku,Researcher
,
Pokemon (2019),"Sakuragi, Koharu"
,
Pokemon Omega Ruby & Alpha Sapphire: Mega Special Animation,Haruka
,
Potemayo,Potemayo
,
Potemayo Specials,Potemayo
,
Prince of Stride: Alternative,"Sakurai, Nana"
,
Prison School,"Midorikawa, Hana"
,
Prison School: Mad Wax,"Midorikawa, Hana"
,
